country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04
Angola,0.93,1.01,1.07,1.13,1.17,1.18,1.2,1.21,1.19,1.18,1.16,1.15,1.12,1.06,0.99,0.95,0.94,0.94,0.9,0.84
Albania,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03
Andorra,,,,,,,,,,,,,,,,,,,,
Arab World,0.051335144,0.052494511,0.05110754,0.051066689,0.051455182,0.047142026,0.043783519,0.043077913,0.043181964,0.042393874,0.040477642,0.041282098,0.041185085,0.040830237,0.040797986,0.043273585,0.04307067,0.046053251,0.045861141,0.046548627
United Arab Emirates,,,,,,,,,,,,,,,,,,,,
Argentina,0.17,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13
Armenia,0.11,0.13,0.15,0.15,0.16,0.15,0.14,0.13,0.11,0.1,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05
American Samoa,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,
Australia,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03
Austria,,,,,,,,,,,,,,,,,,,,
Azerbaijan,0.17,0.16,0.15,0.13,0.11,0.11,0.1,0.09,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06
Burundi,1.33,1.17,1.09,0.96,0.88,0.79,0.75,0.69,0.62,0.57,0.5,0.45,0.41,0.37,0.34,0.29,0.25,0.22,0.19,0.17
Belgium,,,,,,,,,,,,,,,,,,,,
Benin,0.97,0.92,0.85,0.8,0.76,0.72,0.69,0.64,0.61,0.57,0.53,0.51,0.48,0.47,0.43,0.39,0.36,0.34,0.33,0.31
