country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,
Afghanistan,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,5,7,9,9,10
Angola,0,0,0,0,0,0,3,4,6,8,10,11,13,19,23,25,23,25,27,27
Albania,0,0,0,0,1,2,5,8,12,18,30,39,45,52,59,64,70,78,73,85
Andorra,,,,,,,,,,,,,,,,,,,,
Arab World,0.407124682,0.514827995,0.635964912,1.672858617,2.042281219,2.702268431,4.267029973,5.239786856,7.640936687,9.991561181,11.9863124,13.78881009,15.83962992,19.12881608,22.10488506,25.49335199,29.45774172,33.33742728,36.72883436,39.59042553
United Arab Emirates,,,,,,,,,,,,,,,,,,,,
Argentina,0,0,0,0,0,0,4,7,12,16,19,23,13,22,30,36,43,51,58,58
Armenia,0,0,0,0,1,2,5,8,12,18,30,39,45,52,59,64,70,78,73,85
American Samoa,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,
Australia,47,49,47,48,49,52,56,56,55,56,61,60,66,70,73,75,77,79,81,83
Austria,,,,,,,,,,,,,,,,,,,,
Azerbaijan,0,0,0,0,0,0,0,1,2,4,6,10,14,19,19,25,30,38,45,52
Burundi,0,0,1,1,4,6,8,11,15,18,24,28,32,36,41,48,59,69,76,84
Belgium,,,,,,,,,,,,,,,,,,,,
Benin,0,0,0,0,0,0,0,0,20,26,31,39,41,36,41,47,52,52,60,65
Burkina Faso,0,0,0,1,3,7,11,13,18,23,28,32,34,38,42,43,48,55,58,67
Bangladesh,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,
Belarus,0,0,0,0,2,3,10,11,13,16,21,23,27,29,30,34,37,45,59,63
Belize,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,
Bolivia,0,0,0,0,1,1,2,3,4,7,8,8,15,18,23,31,37,42,53,60
Brazil,0,0,0,0,1,1,2,3,4,7,8,8,15,18,23,31,37,42,53,60
Barbados,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,
Botswana,0,1,2,6,12,18,24,28,35,42,47,52,58,63,64,69,73,76,81,82
Central African Republic,0,0,0,0,0,1,2,5,9,10,12,12,14,14,22,26,30,35,38,46
Canada,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,
Chile,10,12,17,21,23,31,31,34,34,37,39,39,44,49,50,51,55,61,64,68
China,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,0,0,1,1,1,3,5,7,11,15,16,20,23,26,30,35,42,52,58,63
Cameroon,0,0,0,0,3,5,6,9,12,15,17,20,23,25,28,32,40,50,55,62
Democratic Republic of the Congo,0,0,0,0,1,2,3,4,5,7,8,10,13,15,20,24,31,42,49,53
Congo,0,0,0,1,1,4,4,6,12,15,18,20,20,22,21,27,29,30,31,25
Colombia,10,12,17,21,23,31,31,34,34,37,39,39,44,49,50,51,55,61,64,68
Comoros,0,1,2,6,12,18,24,28,35,42,47,52,58,63,64,69,73,76,81,82
Cabo Verde,0,0,0,0,3,5,6,9,12,15,17,20,23,25,28,32,40,50,55,62
Costa Rica,9,12,15,17,19,21,23,24,26,27,41,42,42,43,43,49,51,53,60,66
Caribbean small states,0,0,0.302439024,1.536643026,3.661290323,8.950226244,11.72707889,14.99367089,18.95824635,22.75862069,24.79133858,27.35351563,31.56463878,35.38961039,37.3597786,39.31171171,41.82258065,44.44912281,46.66666667,49.53565217
Cuba,1,7,13,17,19,20,24,26,29,32,35,39,41,44,50,57,61,65,71,76
Curacao,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,
Djibouti,0,0,0,2,1,2,4,6,7,8,9,10,14,15,19,24,29,33,38,43
Dominica,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,
Dominican Republic,0,0,0,0,0,2,5,8,12,15,19,22,25,28,31,34,38,41,45,48
Algeria,8,9,10,11,12,14,19,19,18,22,28,30,33,40,46,53,59,62,65,67
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,
Ecuador,1,1,1,1,3,4,6,9,13,17,21,26,26,27,32,38,43,49,55,65
"Egypt, Arab Rep.",0,0,0,0,0,0,6,5,7,7,10,11,12,14,17,17,21,26,31,32
Euro area,,,,,,,,,,,,,,,,,,,,
Eritrea,0,0,0,0,0,2,6,11,16,21,27,33,39,44,50,55,58,60,62,62
Spain,32,36,40,44,47,51,53,56,59,61,65,66,69,70,72,75,81,83,83,85
Estonia,,,,,,,,,,,,,,,,,,,,
Ethiopia,0,0,0,0,1,3,7,14,20,27,33,40,43,47,54,57,63,65,67,74
European Union,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,0.020123978,0.051855591,0.135414541,0.614511271,2.048691275,3.254967047,5.789740342,8.246926828,12.08806532,15.32080978,19.70664613,23.46023261,27.71163905,32.75303193,37.72877301,42.62906762,48.26216907,53.90867921,56.45566428,63.09079227
Finland,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,
France,70,74,75,75,76,78,80,82,84,82,81,80,78,77,77,78,78,80,81,82
Faroe Islands,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,
Gabon,0,0,1,2,6,12,14,16,19,24,25,28,32,42,45,54,60,66,70,51
United Kingdom,,,,,,,,,,,,,,,,,,,,
