country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,,,,,,,,,,,,,,,,,,,
Afghanistan,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,6,9,12,13
Angola,0,0,0,0,0,0,3,4,6,8,10,11,13,18,23,24,23,24,27
Albania,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,
Arab World,0.823074544,0.998735422,1.141414141,1.997674419,2.763429192,3.606104056,4.945221445,5.99058587,8.340688438,10.49886488,12.35978287,14.09107721,16.04472797,18.92357138,21.68108734,24.63612583,28.89144757,32.63744517,35.96369902
United Arab Emirates,,,,,,,,,,,,,,,,,,,
Argentina,19,23,26,29,32,34,36,39,41,43,46,48,50,52,54,56,58,60,61
Armenia,0,0,0,0,0,1,2,2,3,5,7,10,13,17,22,28,35,44,53
American Samoa,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,
Australia,49,51,49,49,50,53,56,57,56,57,62,61,67,72,75,77,79,80,83
Austria,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,
Burundi,0,0,1,1,4,6,8,11,15,19,25,29,32,37,42,49,62,72,80
Belgium,,,,,,,,,,,,,,,,,,,
Benin,0,0,0,0,0,0,0,0,21,27,33,40,43,37,42,48,54,53,61
Burkina Faso,,,,,,,,,,,29,33,36,40,45,46,51,59,62
Bangladesh,0,0,0,0,0,0,1,1,4,5,6,8,9,11,12,13,15,19,22
Bulgaria,16,18,15,19,18,18,18,18,18,21,22,24,26,27,29,30,30,37,41
Bahrain,,,,,,,,,,,,,,,,,,,
"Bahamas, The",1,2,2,14,17,21,26,26,29,32,23,23,28,33,39,38,38,49,52
Bosnia and Herzegovina,0,0,0,0,14,27,16,23,23,25,28,34,40,44,40,46,59,64,67
Belarus,0,0,0,0,2,3,10,11,13,16,21,23,27,29,30,34,36,45,59
Belize,0,1,3,6,6,9,11,12,15,19,21,22,21,23,24,25,27,27,28
Bermuda,,,,,,,,,,,,,,,,,,,
Bolivia,0,0,0,0,0,1,1,2,3,5,6,6,11,14,18,25,30,35,44
Brazil,23,25,26,28,30,32,30,31,31,33,36,39,42,46,51,56,59,63,66
Barbados,0,0,4,22,27,28,30,31,34,35,38,38,40,41,40,40,41,45,50
Brunei Darussalam,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,5,7,9,12,15,20,24,31,37
Botswana,0,1,2,6,12,18,24,28,35,42,47,52,59,63,65,71,75,78,83
Central African Republic,0,0,0,0,0,1,2,4,8,10,11,11,13,13,20,24,28,33,36
Canada,,,,,,,,,,,,,,,66,,69,,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,
Chile,12,15,20,24,25,34,32,34,33,36,37,37,42,46,47,49,54,59,63
China,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,0,0,1,1,2,6,9,12,18,17,18,21,23,23,30,34,41,49,55
Cameroon,0,0,0,0,3,5,6,9,12,15,17,20,23,24,27,31,38,47,52
Democratic Republic of the Congo,0,0,0,0,1,2,4,4,5,7,9,11,14,17,22,27,35,48,57
Congo,0,0,0,1,1,4,4,6,12,15,18,20,20,23,22,29,31,33,35
Colombia,0,2,3,4,6,7,12,11,11,12,18,24,29,34,40,47,52,52,73
Comoros,0,0,0,0,0,5,8,11,14,14,19,25,32,35,42,53,58,78,79
Cabo Verde,0,0,0,0,1,8,12,18,22,24,29,33,40,45,54,59,69,76,89
Costa Rica,8,10,13,15,17,18,20,22,23,24,37,37,37,38,39,44,46,48,49
Caribbean small states,0.093922652,0.214801444,0.449458484,2.495575221,3.828621908,8.620141343,10.77430556,13.90972222,16.91780822,20.64695946,21.85856905,23.93585526,25.96,28.30903328,31.33124019,32.88650307,34.87671233,37.56463596,39.70457903
Cuba,1,7,14,18,20,21,24,26,29,32,35,39,41,44,50,57,61,66,72
Curacao,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,
Czech Republic,38,36,35,33,32,33,52,46,40,35,41,46,43,42,43,44,50,55,60
Germany,68,68,66,64,62,59,57,59,61,63,65,69,70,72,74,76,78,81,80
Djibouti,0,0,0,1,1,3,5,7,8,9,10,11,14,16,18,22,26,28,30
Dominica,,,,,,,,,,,,,,,,,,,
Denmark,43,44,45,47,49,49,51,52,57,61,65,68,72,72,79,82,85,88,89
Dominican Republic,0,0,0,0,1,3,5,10,13,16,21,24,27,30,34,39,45,50,56
Algeria,8,10,11,12,14,15,20,21,20,24,31,34,38,46,54,62,70,75,81
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,
Ecuador,1,1,1,1,3,4,6,9,13,17,21,25,26,27,33,39,44,51,57
"Egypt, Arab Rep.",0,0,0,0,0,0,5,5,6,6,9,9,10,12,14,16,19,25,31
Euro area,43.66263995,47.80145414,50.2697316,52.54552239,55.01687663,56.60289135,59.45407467,61.64284955,64.47975952,65.92689606,67.89287707,69.2340787,70.73290525,72.42477861,73.89828473,75.85154576,79.33824901,82.51457866,84.21341364
Eritrea,0,0,0,0,0,3,7,13,18,22,28,32,37,41,45,48,49,50,51
Spain,31,36,40,44,47,50,53,56,59,61,65,65,68,70,71,74,81,83,84
Estonia,1,1,1,1,2,5,9,13,18,23,31,36,40,42,46,52,56,58,59
Ethiopia,0,0,0,0,1,3,8,15,21,29,35,42,45,49,55,58,62,64,65
European Union,43.7796116,47.88990013,50.37781629,52.50790849,54.81474308,56.27496432,59.0190751,61.02092263,63.78434749,65.1666856,67.10253681,68.40923883,69.8296154,71.55710594,73.0719401,75.0747308,78.43908751,82.68018433,83.20515575
Fragile and conflict affected situations,0.003169506,0.004232614,0.177034872,0.26219722,1.11714812,2.482266918,4.544286763,7.247998726,10.78435484,13.39781588,18.25645946,22.04125889,25.39367171,30.68934109,36.34054649,41.64349373,47.5870857,54.5644827,60.32356426
Finland,27,37,43,48,51,54,56,58,60,62,63,65,67,69,70,71,72,74,76
Fiji,,,,,,,,,,,,,,,,,,,
France,70,75,75,76,77,79,82,83,85,84,82,81,79,78,78,79,81,82,83
Faroe Islands,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,
Gabon,0,0,1,2,6,13,15,17,20,24,26,29,33,42,44,53,58,63,67
United Kingdom,,,,,,,,,,,,,,,,,,90,
Georgia,0,0,0,0,2,5,8,9,11,13,15,18,25,29,33,37,42,46,49
Ghana,0,0,0,0,1,1,2,4,7,10,14,20,23,24,26,25,28,31,34
Gibraltar,,,,,,,,,,,,,,,,,,,
Guinea,0,0,0,1,1,2,5,5,9,15,19,22,25,25,29,30,32,35,40
"Gambia, The",0,0,0,0,0,2,2,3,5,6,11,16,19,19,21,22,25,27,29
Guinea-Bissau,0,0,0,0,0,0,1,3,6,8,10,13,16,17,19,22,27,27,33
Equatorial Guinea,0,0,0,0,1,2,3,6,7,11,7,10,14,24,23,21,27,35,34
Greece,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,
Guatemala,0,0,0,6,6,7,10,16,20,22,25,28,31,34,35,34,37,38,43
Guam,,,,,,,,,,,,,,,,,,,
