country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Afghanistan,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386,38042000,38928000,39835000,40754000,41681000,42609000,43532000,44449000,45364000,46275000,47185000,48094000,49000000,49904000,50804000,51699000,52587000
Albania,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2867000,2867000,2866000,2864000,2862000,2860000,2857000,2853000,2849000,2843000,2837000,2830000,2822000,2813000,2803000,2791000,2778000
Algeria,31042235,31451514,31855109,32264157,32692163,33149724,33641002,34166972,34730608,35333881,35977455,36661444,37383887,38140132,38923687,39728025,40551404,41389198,42228429,43053000,43851000,44617000,45350000,46053000,46731000,47388000,48022000,48634000,49226000,49801000,50361000,50908000,51444000,51971000,52494000,53016000
American Samoa,57821,58494,59080,59504,59681,59562,59107,58365,57492,56683,56079,55759,55667,55713,55791,55812,55741,55620,55465,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
Andorra,65390,67341,70049,73182,76244,78867,80993,82684,83862,84463,84449,83747,82427,80774,79213,78011,77297,77001,77006,77000,77000,77000,77000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
Angola,16395473,16945753,17519417,18121479,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931,26015780,26941779,27884381,28842484,29816748,30809762,31825000,32866000,33934000,35027000,36149000,37299000,38478000,39688000,40929000,42200000,43502000,44835000,46198000,47593000,49017000,50471000,51953000
Antigua and Barbuda,76016,77212,78295,79300,80336,81465,82704,84026,85397,86746,88028,89253,90409,91516,92562,93566,94527,95426,96286,97000,98000,99000,100000,100000,101000,102000,102000,103000,104000,104000,105000,105000,106000,106000,107000,107000
Arab World,282344154,288432163,294665185,301113849,307862843,314965793,322452754,330290716,338395961,346629220,354890042,363158703,371443547,379705719,387907748,396028278,404024433,411898965,419790588,427877000,436091000,444534000,453156000,461860000,470508000,479005000,487312000,495459000,503472000,511393000,519260000,527071000,534819000,542525000,550219000,557921000
Argentina,36870787,37275652,37681749,38087868,38491972,38892931,39289878,39684295,40080160,40482788,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44901000,45303000,45702000,46096000,46485000,46870000,47250000,47625000,47994000,48358000,48717000,49069000,49416000,49757000,50092000,50422000,50745000
Armenia,3069591,3050687,3033978,3017932,3000720,2981269,2958307,2932618,2907618,2888092,2877319,2876538,2884229,2897584,2912403,2925553,2936146,2944809,2951776,2958000,2963000,2968000,2972000,2975000,2977000,2977000,2977000,2976000,2974000,2971000,2967000,2963000,2958000,2952000,2947000,2940000
Aruba,90853,92898,94992,97017,98737,100031,100834,101222,101358,101455,101669,102046,102560,103159,103774,104341,104872,105366,105845,106000,107000,107000,108000,108000,108000,109000,109000,109000,110000,110000,110000,110000,111000,111000,111000,111000
Australia,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24992369,25303000,25608000,25907000,26200000,26489000,26774000,27055000,27332000,27605000,27872000,28135000,28393000,28648000,28898000,29146000,29390000,29633000
Austria,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8847037,8865000,8883000,8901000,8918000,8934000,8950000,8964000,8977000,8989000,9000000,9009000,9017000,9024000,9029000,9033000,9036000,9038000
Azerbaijan,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9942334,10032000,10115000,10193000,10266000,10334000,10397000,10455000,10510000,10560000,10608000,10652000,10694000,10734000,10771000,10807000,10840000,10871000
"Bahamas, The",298051,302618,307660,313129,318894,324859,331033,337389,343681,349604,354942,359577,363584,367168,370633,374206,377931,381761,385640,389000,393000,397000,401000,404000,408000,411000,414000,418000,421000,424000,427000,430000,432000,435000,438000,440000
Bahrain,664611,697545,735146,778708,829844,889164,958418,1035919,1114641,1185076,1240860,1278151,1299943,1315029,1336075,1371851,1425791,1494074,1569439,1641000,1702000,1748000,1784000,1812000,1838000,1865000,1895000,1926000,1957000,1986000,2013000,2038000,2060000,2081000,2100000,2119000
Bangladesh,127657854,130088702,132478086,134791603,136986432,139035505,140921167,142660376,144304167,145924797,147575430,149273778,151007807,152764676,154520167,156256276,157970840,159670593,161356039,163046000,164689000,166303000,167886000,169432000,170937000,172399000,173814000,175180000,176498000,177769000,178994000,180171000,181300000,182377000,183403000,184374000
Barbados,271515,272500,273425,274329,275284,276323,277477,278700,279946,281104,282131,282987,283700,284296,284825,285324,285796,286233,286641,287000,287000,288000,288000,288000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000
Belarus,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9498264,9485386,9467000,9448000,9429000,9409000,9388000,9366000,9342000,9316000,9288000,9257000,9225000,9191000,9156000,9120000,9084000,9046000,9009000
Belgium,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11422068,11483000,11538000,11583000,11623000,11661000,11698000,11735000,11772000,11807000,11841000,11873000,11904000,11933000,11961000,11987000,12013000,12037000
Belize,247315,255063,262378,269425,276504,283800,291329,299025,306823,314655,322464,330237,338000,345715,353366,360933,368400,375769,383071,390000,398000,405000,412000,419000,427000,434000,441000,448000,454000,461000,468000,474000,480000,487000,493000,499000
Benin,6865951,7076733,7295394,7520555,7750004,7982225,8216897,8454793,8696921,8944708,9199259,9460830,9729248,10004588,10286842,10575952,10872067,11175204,11485048,11801000,12123000,12451000,12785000,13124000,13470000,13822000,14180000,14544000,14915000,15291000,15672000,16060000,16453000,16851000,17254000,17663000
Bermuda,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65139,65239,64555,63874,63968,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,591021,603640,616018,627839,638815,648739,657410,664876,671613,678323,685503,693298,701583,710238,719056,727876,736709,745568,754394,763000,772000,780000,788000,796000,803000,811000,818000,824000,831000,837000,843000,848000,853000,858000,863000,867000
Bolivia,8418264,8580235,8742814,8905823,9069039,9232306,9395446,9558439,9721454,9884781,10048590,10212954,10377676,10542376,10706517,10869730,11031813,11192854,11353142,11513000,11673000,11833000,11993000,12152000,12311000,12468000,12625000,12781000,12936000,13089000,13240000,13390000,13538000,13684000,13828000,13971000
Bosnia and Herzegovina,3751176,3755512,3759387,3762173,3764194,3765331,3765424,3762786,3754271,3735938,3705472,3661175,3604972,3542605,3482104,3429361,3386267,3351527,3323929,3301000,3281000,3263000,3249000,3237000,3225000,3212000,3197000,3181000,3163000,3145000,3127000,3108000,3089000,3070000,3050000,3030000
Botswana,1643334,1674678,1704642,1734398,1765527,1799078,1835908,1875459,1915639,1953498,1987105,2015402,2039551,2062536,2088614,2120716,2159944,2205128,2254126,2304000,2352000,2397000,2441000,2484000,2526000,2568000,2610000,2651000,2693000,2734000,2774000,2815000,2855000,2895000,2935000,2975000
Brazil,174790340,177196054,179537520,181809246,184006481,186127103,188167356,190130443,192030362,193886508,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,211050000,212559000,213993000,215354000,216642000,217863000,219021000,220115000,221143000,222107000,223009000,223852000,224636000,225362000,226029000,226636000,227184000
British Virgin Islands,20311,20675,21129,21672,22334,23107,24023,25047,26097,27039,27794,28319,28650,28847,28989,29152,29355,29577,29802,30000,30000,30000,31000,31000,31000,31000,31000,31000,32000,32000,32000,32000,32000,32000,32000,32000
Brunei Darussalam,333165,340034,346782,353293,359433,365114,370263,374965,379421,383906,388646,393688,398989,404421,409769,414907,419800,424473,428962,433000,437000,442000,445000,449000,453000,456000,459000,463000,466000,468000,471000,473000,476000,478000,480000,482000
Bulgaria,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7024216,6970000,6916000,6862000,6808000,6753000,6697000,6640000,6582000,6522000,6462000,6400000,6338000,6276000,6213000,6150000,6088000,6027000
Burkina Faso,11607942,11944587,12293100,12654621,13030569,13421930,13829176,14252021,14689725,15141098,15605217,16081911,16571246,17072775,17586017,18110624,18646378,19193284,19751535,20321000,20903000,21497000,22103000,22721000,23352000,23995000,24652000,25321000,26003000,26698000,27404000,28122000,28852000,29593000,30344000,31106000
Burundi,6378871,6525545,6704113,6909154,7131693,7364862,7607849,7862214,8126102,8397668,8675602,8958406,9245988,9540289,9844297,10160030,10487998,10827024,11175378,11531000,11891000,12255000,12625000,12999000,13379000,13764000,14155000,14551000,14952000,15360000,15773000,16192000,16618000,17049000,17487000,17932000
Cabo Verde,428188,435709,442951,449930,456617,463032,469170,475060,480842,486671,492654,498856,505235,511748,518269,524743,531146,537497,543767,550000,556000,562000,568000,573000,579000,584000,590000,595000,600000,605000,610000,615000,620000,624000,629000,633000
Cambodia,12155239,12405408,12637727,12856163,13066469,13273354,13477709,13679962,13883834,14093604,14312212,14541423,14780454,15026332,15274503,15521436,15766293,16009414,16249798,16487000,16719000,16946000,17169000,17386000,17598000,17806000,18009000,18207000,18402000,18593000,18781000,18967000,19150000,19331000,19509000,19686000
Cameroon,15513945,15928910,16357602,16800865,17259322,17733410,18223674,18730282,19252666,19789919,20341241,20906388,21485266,22077298,22681858,23298368,23926539,24566045,25216237,25876000,26546000,27224000,27912000,28608000,29315000,30032000,30759000,31497000,32244000,33001000,33766000,34540000,35323000,36115000,36915000,37722000
Canada,30685730,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36540268,37058856,37375000,37684000,37985000,38276000,38561000,38840000,39112000,39378000,39635000,39883000,40122000,40352000,40573000,40784000,40988000,41184000,41372000
Caribbean small states,6513485,6559096,6604965,6650971,6696953,6742717,6788123,6833393,6878978,6925452,6973206,7022387,7072665,7123332,7173435,7222212,7269386,7314990,7358965,7401000,7443000,7481000,7520000,7555000,7589000,7622000,7651000,7679000,7703000,7728000,7751000,7769000,7787000,7803000,7817000,7828000
Cayman Islands,42303,43935,45351,46632,47902,49261,50740,52280,53836,55322,56672,57878,58958,59932,60848,61724,62569,63382,64174,65000,66000,66000,67000,68000,69000,70000,70000,71000,72000,73000,73000,74000,75000,75000,76000,77000
Central African Republic,3640427,3722018,3802128,3881181,3959875,4038382,4118069,4198010,4273366,4337625,4386768,4418636,4436415,4447942,4464175,4493170,4537687,4596028,4666377,4745000,4830000,4920000,5017000,5119000,5227000,5338000,5454000,5572000,5694000,5817000,5942000,6068000,6195000,6323000,6450000,6577000
Central Europe and the Baltics,108447824,107660041,106959751,106624167,106331716,106041911,105772481,105378748,105001883,104800475,104421447,104174038,103935318,103713726,103496179,103257751,102994343,102738854,102511922,102181000,101847000,101507000,101159000,100800000,100427000,100042000,99644000,99224000,98785000,98326000,97845000,97344000,96825000,96295000,95752000,95200000
Chad,8355654,8678051,9019233,9373916,9734767,10096633,10457124,10818024,11183588,11560147,11952136,12360989,12784750,13220424,13663559,14110975,14561666,15016773,15477751,15947000,16426000,16915000,17414000,17921000,18437000,18961000,19491000,20030000,20576000,21129000,21690000,22259000,22834000,23415000,24003000,24597000
Channel Islands,148443,149097,149596,150068,150716,151678,153008,154636,156433,158178,159734,160998,162056,163038,164100,165385,166923,168665,170499,172000,174000,175000,176000,178000,179000,180000,181000,182000,183000,184000,185000,186000,187000,188000,189000,190000
Chile,15342353,15516113,15684409,15849652,16014971,16182721,16354504,16530195,16708258,16886186,17062536,17233576,17400347,17571507,17758959,17969353,18209068,18470439,18729160,18952000,19116000,19212000,19250000,19249000,19239000,19241000,19260000,19293000,19338000,19394000,19458000,19533000,19618000,19710000,19798000,19879000
China,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000,1397295000,1401379000,1404969000,1408072000,1410697000,1412855000,1414558000,1415812000,1416617000,1416966000,1416857000,1416292000,1415282000,1413850000,1412026000,1409849000,1407354000
Colombia,39629968,40255967,40875360,41483869,42075955,42647723,43200897,43737516,44254975,44750054,45222700,45663099,46076848,46497267,46969209,47520667,48171392,48901066,49648685,50339000,50883000,51266000,51513000,51673000,51820000,52007000,52249000,52530000,52835000,53136000,53417000,53674000,53914000,54139000,54351000,54549000
Comoros,542357,555888,569479,583211,597228,611627,626425,641620,657229,673252,689692,706569,723871,741505,759390,777424,795592,813892,832322,851000,870000,888000,907000,927000,946000,965000,984000,1004000,1024000,1043000,1063000,1083000,1103000,1123000,1143000,1164000
Democratic Republic of the Congo,47105826,48428545,49871666,51425580,53068880,54785903,56578037,58453683,60411195,62448574,64563854,66755153,69020747,71358807,73767447,76244544,78789127,81398764,84068091,86791000,89561000,92378000,95241000,98152000,101115000,104134000,107206000,110332000,113514000,116751000,120047000,123400000,126808000,130270000,133780000,137337000
Congo,3127411,3217933,3310387,3406922,3510468,3622775,3745141,3876119,4011486,4145391,4273731,4394844,4510198,4622761,4736974,4856095,4980999,5110702,5244363,5381000,5518000,5657000,5798000,5941000,6086000,6235000,6386000,6540000,6697000,6857000,7020000,7185000,7353000,7523000,7696000,7871000
Costa Rica,3962372,4034074,4100925,4164053,4225155,4285502,4345412,4404628,4463125,4520740,4577378,4633086,4688000,4742107,4795396,4847804,4899345,4949954,4999441,5048000,5094000,5139000,5182000,5224000,5264000,5302000,5339000,5373000,5406000,5438000,5468000,5497000,5524000,5550000,5575000,5598000
